key,conn,conn_head_sem_class,frequency,conn_total_count
once+Temporal.Asynchronous.Succession,once,Temporal.Asynchronous.Succession,78,95
although+Comparison.Contrast,although,Comparison.Contrast,217,536
besides+Expansion.Conjunction,besides,Expansion.Conjunction,33,37
besides+Comparison,besides,Comparison,1,37
accordingly+Contingency.Cause.Result,accordingly,Contingency.Cause.Result,88,91
and+Expansion.Conjunction,and,Expansion.Conjunction,3619,4477
specifically+Expansion.Restatement.Specification,specifically,Expansion.Restatement.Specification,1136,1177
because+Contingency.Cause.Reason,because,Contingency.Cause.Reason,2705,2847
though+Comparison.Concession.Expectation,though,Comparison.Concession.Expectation,105,325
but+Comparison.Contrast,but,Comparison.Contrast,2022,4102
nevertheless+Comparison.Contrast,nevertheless,Comparison.Contrast,22,72
before+Temporal.Asynchronous.Precedence,before,Temporal.Asynchronous.Precedence,323,331
until+Contingency.Condition.General,until,Contingency.Condition.General,2,164
if+Contingency.Condition.Hypothetical,if,Contingency.Condition.Hypothetical,687,1234
previously+Temporal.Asynchronous.Succession,previously,Temporal.Asynchronous.Succession,152,157
when+Temporal.Synchrony,when,Temporal.Synchrony,606,1215
then+Temporal.Asynchronous.Precedence,then,Temporal.Asynchronous.Precedence,700,760
so+Contingency.Cause.Result,so,Contingency.Cause.Result,1052,1079
consequently+Contingency.Cause.Result,consequently,Contingency.Cause.Result,201,204
but+Comparison.Contrast.Juxtaposition,but,Comparison.Contrast.Juxtaposition,752,4102
while+Comparison.Contrast.Juxtaposition,while,Comparison.Contrast.Juxtaposition,366,1550
while+Expansion.Conjunction,while,Expansion.Conjunction,451,1550
while+Temporal.Synchrony,while,Temporal.Synchrony,294,1550
while+Comparison.Contrast,while,Comparison.Contrast,190,1550
thus+Contingency.Cause.Result,thus,Contingency.Cause.Result,286,297
meanwhile+Comparison.Contrast,meanwhile,Comparison.Contrast,15,655
meanwhile+Expansion.Conjunction,meanwhile,Expansion.Conjunction,287,655
however+Comparison,however,Comparison,116,1201
and+Comparison.Contrast.Juxtaposition,and,Comparison.Contrast.Juxtaposition,32,4477
also+Expansion.Conjunction,also,Expansion.Conjunction,2188,2206
after+Temporal.Asynchronous.Succession,after,Temporal.Asynchronous.Succession,587,651
but+Contingency.Cause.Result,but,Contingency.Cause.Result,5,4102
separately+Expansion.Conjunction,separately,Expansion.Conjunction,76,81
still+Comparison.Concession.Contra-expectation,still,Comparison.Concession.Contra-expectation,83,203
furthermore+Expansion.Conjunction,furthermore,Expansion.Conjunction,351,358
or+Expansion.Alternative.Conjunctive,or,Expansion.Alternative.Conjunctive,51,111
although+Comparison.Concession.Expectation,although,Comparison.Concession.Expectation,152,536
moreover+Expansion.Conjunction,moreover,Expansion.Conjunction,189,191
though+Comparison.Contrast,though,Comparison.Contrast,106,325
while+Comparison,while,Comparison,23,1550
