emotion_clause,cause_candidate,conn,pairs_len,correctness,is_cause_conn
激动地对中新网记者说,当我看到建议被采纳,但,"10,10",False,false
激动地对中新网记者说,部委领导写给我的回信时,当,"10,12",False,false
激动地对中新网记者说,我知道我正在为这个国家的发展尽着一份力量,但,"10,21",False,false
激动地对中新网记者说,27日,与,"10,4",False,false
激动地对中新网记者说,河北省邢台钢铁有限公司的普通工人白金跃,而,"10,20",False,false
激动地对中新网记者说,拿着历年来国家各部委反馈给他的感谢信,就,"10,19",False,false
激动地对中新网记者说,27年来,但,"10,5",False,false
激动地对中新网记者说,国家公安部国家工商总局国家科学技术委员会科技部卫生部国家发展改革委员会等部委均接受并采纳过的我的建议,而,"10,51",True,false
并略显激动,据白金跃介绍,而,"5,7",False,false
并略显激动,自1988年至今,而,"5,9",False,false
并略显激动,他向国家各部委提出合理化建议1000多条,但,"5,21",False,false
并略显激动,并多次被各部委采纳,但,"5,10",False,false
并略显激动,曾荣获国家十二五建言献策个人一等奖河北省建言献策三等奖,因,"5,28",False,true
并略显激动,当日,但,"5,3",False,false
并略显激动,跟中新网记者谈起建言献策的初衷,就,"5,16",False,false
并略显激动,白金跃陷入回忆,与,"5,8",True,false
小男孩胸口蔫瘦得让人心疼,2002年6月3日上午,由,"12,12",False,true
小男孩胸口蔫瘦得让人心疼,当值的曾友蔚接报,由,"12,9",False,true
小男孩胸口蔫瘦得让人心疼,狮山镇小塘走马营村一树林里有一名年仅2岁多的小男孩躺在草地上,而,"12,31",False,false
小男孩胸口蔫瘦得让人心疼,无人认领,但,"12,5",False,false
小男孩胸口蔫瘦得让人心疼,曾友蔚立即赶到现场处置,而,"12,12",False,false
小男孩胸口蔫瘦得让人心疼,只见林中的草地上,却,"12,9",False,false
小男孩胸口蔫瘦得让人心疼,小男孩被包在一条毛巾里,而,"12,12",False,false
小男孩胸口蔫瘦得让人心疼,很孱弱,但,"12,4",False,false
小男孩胸口蔫瘦得让人心疼,不哭也不闹,但,"12,6",False,false
小男孩胸口蔫瘦得让人心疼,小眼珠子静静地望着眼前的警察叔叔,而,"12,17",False,false
小男孩胸口蔫瘦得让人心疼,曾友蔚打开包裹着的围巾,当,"12,12",False,false
小男孩胸口蔫瘦得让人心疼,贴身处有一张写着出生年月的纸条和一封利是,而,"12,21",False,false
小男孩胸口蔫瘦得让人心疼,曾友蔚意识到,但,"12,7",False,false
小男孩胸口蔫瘦得让人心疼,这可能是个病被弃的孩子,但,"12,12",False,false
无奈才选择跳楼轻生,为尽快将女子救下,但,"9,9",False,false
无奈才选择跳楼轻生,指挥员立即制订了救援方案,总,"9,13",False,false
无奈才选择跳楼轻生,第一组在楼下铺设救生气垫,由,"9,13",False,true
无奈才选择跳楼轻生,并对周围无关人员进行疏散,但,"9,13",False,false
无奈才选择跳楼轻生,另一组队员快速爬上6楼,而,"9,12",False,false
无奈才选择跳楼轻生,在楼内对女子进行劝说,便,"9,11",False,true
无奈才选择跳楼轻生,劝说过程中,但,"9,6",False,false
无奈才选择跳楼轻生,消防官兵了解到,但,"9,8",False,false
无奈才选择跳楼轻生,该女子是对方拖欠工程款,而,"9,12",True,false
无奈才选择跳楼轻生,家中又急需用钱,但,"9,8",True,false
无奈才选择跳楼轻生,生活压力大,因,"9,6",True,true
两人既是自豪也是对前景充满了信心,依靠父母支持和在学校打工积攒下来的钱,就,"16,19",False,false
两人既是自豪也是对前景充满了信心,两人共投资50多万元,而,"16,11",False,false
两人既是自豪也是对前景充满了信心,办起了养鸡场,就,"16,7",False,false
两人既是自豪也是对前景充满了信心,去年11月开始售卖产品,而,"16,12",False,false
两人既是自豪也是对前景充满了信心,3个月的销售额已经达到了50多万元,而,"16,18",False,false
两人既是自豪也是对前景充满了信心,有这样一个好的开头,总,"16,10",True,false
当初获得入户指标的那份欣喜,2013年6月,由,"13,8",False,true
当初获得入户指标的那份欣喜,在深圳打拼10年的吴树梁终于拿到大红的深圳市户口,而,"13,25",False,false
当初获得入户指标的那份欣喜,儿子吴同也随之迁入深圳,而,"13,12",False,false
当初获得入户指标的那份欣喜,但妻子丁维清却必须等候吴树梁入户满两年才能随迁,而,"13,24",False,false
当初获得入户指标的那份欣喜,半年后,而,"13,4",False,false
当初获得入户指标的那份欣喜,老吴患上肺癌晚期的噩耗而荡然无存,因,"13,17",False,true
当初获得入户指标的那份欣喜,取而代之的,而,"13,6",False,false
当初获得入户指标的那份欣喜,医生的判决是36个月,但,"13,11",False,false
当初获得入户指标的那份欣喜,这意味着,而,"13,5",False,false
当初获得入户指标的那份欣喜,老吴可能等不到妻子随迁入户深圳,但,"13,16",False,false
是他对自己生存期的忧虑,2013年6月,但,"11,8",False,false
是他对自己生存期的忧虑,在深圳打拼10年的吴树梁终于拿到大红的深圳市户口,而,"11,25",False,false
是他对自己生存期的忧虑,儿子吴同也随之迁入深圳,而,"11,12",False,false
是他对自己生存期的忧虑,但妻子丁维清却必须等候吴树梁入户满两年才能随迁,而,"11,24",False,false
是他对自己生存期的忧虑,半年后,但,"11,4",False,false
是他对自己生存期的忧虑,老吴患上肺癌晚期的噩耗而荡然无存,因,"11,17",False,true
是他对自己生存期的忧虑,取而代之的,而,"11,6",False,false
是他对自己生存期的忧虑,医生的判决是36个月,但,"11,11",False,false
是他对自己生存期的忧虑,这意味着,而,"11,5",False,false
是他对自己生存期的忧虑,老吴可能等不到妻子随迁入户深圳,但,"11,16",True,false
生不如死是老吴患癌后常有的想法,大面积骨转移,因,"15,7",True,true
生不如死是老吴患癌后常有的想法,老吴每天都在剧痛里挣扎,而,"15,12",True,false
生不如死是老吴患癌后常有的想法,从2012年10月到现在,而,"15,13",False,false
生不如死是老吴患癌后常有的想法,老吴已经和晚期肺癌搏斗了30个月,而,"15,17",False,false
生不如死是老吴患癌后常有的想法,这个时间长度,而,"15,7",False,false
生不如死是老吴患癌后常有的想法,比医生最初给他的死亡判决已经超出了近10倍,但,"15,22",False,false
深圳宁养院的医生王劲也感到惊诧,大面积骨转移,因,"15,7",False,true
深圳宁养院的医生王劲也感到惊诧,老吴每天都在剧痛里挣扎,而,"15,12",False,false
深圳宁养院的医生王劲也感到惊诧,从2012年10月到现在,而,"15,13",False,false
深圳宁养院的医生王劲也感到惊诧,老吴已经和晚期肺癌搏斗了30个月,而,"15,17",True,false
深圳宁养院的医生王劲也感到惊诧,这个时间长度,而,"15,7",False,false
深圳宁养院的医生王劲也感到惊诧,比医生最初给他的死亡判决已经超出了近10倍,但,"15,22",True,false
就会有网友担心老吴是不是去了,为了坚持到妻子入户,但,"14,10",False,false
就会有网友担心老吴是不是去了,老吴已经用尽了全力,而,"14,10",False,false
就会有网友担心老吴是不是去了,老吴其抗癌事迹广为人知,而,"14,12",False,false
就会有网友担心老吴是不是去了,如果老吴长时间不更新微博,但,"14,13",True,false
就会有网友担心老吴是不是去了,2013年底,而,"14,7",False,false
就会有网友担心老吴是不是去了,老吴两个多月没有更新微博,而,"14,13",False,false
就会有网友担心老吴是不是去了,有网友担心地问他近况如何,更,"14,13",False,false
就会有网友担心老吴是不是去了,看到网友的发问,但,"14,8",False,false
就会有网友担心老吴是不是去了,正在经历靶向药耐药性剧痛期的他,而,"14,16",False,false
就会有网友担心老吴是不是去了,还是努力地敲下了四个字活着,但,"14,14",False,false
就会有网友担心老吴是不是去了,活着,就,"14,3",False,false
总之是无奈和心酸,目前全家依靠她两千多元工资生活,但,"8,16",False,false
总之是无奈和心酸,看病已负债累累,但,"8,8",True,false
总之是无奈和心酸,如果我不在了,但,"8,7",False,false
总之是无奈和心酸,妻子没有深圳户籍日子会更难,若,"8,14",True,false
总之是无奈和心酸,但我也很感谢那些帮助我的网友义工宁养院,但,"8,20",False,false
总之是无奈和心酸,还有家人的不离不弃,但,"8,10",False,false
总之是无奈和心酸,我现在只能咬牙继续坚持,但,"8,12",False,false
总之是无奈和心酸,希望能够达成心愿,但,"8,9",False,false
但我也很感谢那些帮助我的网友义工宁养院,目前全家依靠她两千多元工资生活,但,"19,16",False,false
但我也很感谢那些帮助我的网友义工宁养院,看病已负债累累,但,"19,8",False,false
