section,discourse,word_count,doc_len,clause_len,emotion_pos,cause_pos,true_pairs
1,当我看到建议被采纳部委领导写给我的回信时我知道我正在为这个国家的发展尽着一份力量27日河北省邢台钢铁有限公司的普通工人白金跃拿着历年来国家各部委反馈给他的感谢信激动地对中新网记者说27年来国家公安部国家工商总局国家科学技术委员会科技部卫生部国家发展改革委员会等部委均接受并采纳过的我的建议,144,9,"[9, 11, 20, 3, 19, 18, 10, 4, 50]",[7],[[9]],"[[7, 9]]"
2,据白金跃介绍自1988年至今他向国家各部委提出合理化建议1000多条并多次被各部委采纳曾荣获国家十二五建言献策个人一等奖河北省建言献策三等奖当日跟中新网记者谈起建言献策的初衷白金跃陷入回忆并略显激动,99,9,"[6, 8, 20, 9, 27, 2, 15, 7, 5]",[9],[[8]],"[[9, 8]]"
3,2002年6月3日上午当值的曾友蔚接报狮山镇小塘走马营村一树林里有一名年仅2岁多的小男孩躺在草地上无人认领曾友蔚立即赶到现场处置只见林中的草地上小男孩被包在一条毛巾里很孱弱不哭也不闹小眼珠子静静地望着眼前的警察叔叔曾友蔚打开包裹着的围巾小男孩胸口蔫瘦得让人心疼贴身处有一张写着出生年月的纸条和一封利是曾友蔚意识到这可能是个因病被弃的孩子,168,15,"[11, 8, 30, 4, 11, 8, 11, 3, 5, 16, 11, 12, 20, 6, 12]",[12],[[12]],"[[12, 12]]"
4,为尽快将女子救下指挥员立即制订了救援方案第一组在楼下铺设救生气垫并对周围无关人员进行疏散另一组队员快速爬上6楼在楼内对女子进行劝说劝说过程中消防官兵了解到该女子是由于对方拖欠工程款家中又急需用钱生活压力大无奈才选择跳楼轻生,111,12,"[8, 12, 12, 12, 11, 10, 5, 7, 13, 7, 5, 9]",[12],"[[9, 10, 11]]","[[12, 9], [12, 10], [12, 11]]"
5,依靠父母支持和在学校打工积攒下来的钱两人共投资50多万元办起了养鸡场去年11月开始售卖产品3个月的销售额已经达到了50多万元有这样一个好的开头两人既是自豪也是对前景充满了信心,87,7,"[18, 10, 6, 11, 17, 9, 16]",[7],[[6]],"[[7, 6]]"
6,2013年6月在深圳打拼10年的吴树梁终于拿到大红的深圳市户口儿子吴同也随之迁入深圳但妻子丁维清却必须等候吴树梁入户满两年才能随迁半年后当初获得入户指标的那份欣喜因为老吴患上肺癌晚期的噩耗而荡然无存取而代之的是他对自己生存期的忧虑医生的判决是36个月这意味着老吴可能等不到妻子随迁入户深圳,144,12,"[7, 24, 11, 23, 3, 13, 18, 5, 11, 10, 4, 15]","[6, 9]","[[6], [12]]","[[6, 6], [9, 12]]"
8,生不如死是老吴患癌后常有的想法由于大面积骨转移老吴每天都在剧痛里挣扎从2012年10月到现在老吴已经和晚期肺癌搏斗了30个月这个时间长度比医生最初给他的死亡判决已经超出了近10倍深圳宁养院的医生王劲也感到惊诧,104,8,"[15, 8, 11, 12, 16, 6, 21, 15]","[1, 8]","[[2, 3], [5, 7]]","[[1, 2], [1, 3], [8, 5], [8, 7]]"
10,为了坚持到妻子入户老吴已经用尽了全力老吴因为其抗癌事迹广为人知如果老吴长时间不更新微博就会有网友担心老吴是不是去了2013年底老吴两个多月没有更新微博有网友担心地问他近况如何看到网友的发问正在经历靶向药耐药性剧痛期的他还是努力地敲下了四个字活着活着,124,12,"[9, 9, 13, 12, 14, 6, 12, 12, 7, 15, 13, 2]",[5],[[4]],"[[5, 4]]"
11,目前全家依靠她两千多元工资生活看病已负债累累如果我不在了妻子没有深圳户籍日子会更难总之是无奈和心酸但我也很感谢那些帮助我的网友义工宁养院还有家人的不离不弃我现在只能咬牙继续坚持希望能够达成心愿,96,9,"[15, 7, 6, 13, 8, 19, 9, 11, 8]",[5],"[[2, 4]]","[[5, 2], [5, 4]]"
12,目前全家依靠她两千多元工资生活看病已负债累累如果我不在了妻子没有深圳户籍日子会更难总之是无奈和心酸但我也很感谢那些帮助我的网友义工宁养院还有家人的不离不弃我现在只能咬牙继续坚持希望能够达成心愿,96,10,"[15, 7, 6, 8, 5, 8, 19, 9, 11, 8]",[7],"[[7, 8]]","[[7, 7], [7, 8]]"
