emotion_clause,cause_candidate,pairs_len,correctness
激动地对中新网记者说,当我看到建议被采纳,"10,9",false
激动地对中新网记者说,部委领导写给我的回信时,"10,11",false
激动地对中新网记者说,我知道我正在为这个国家的发展尽着一份力量,"10,20",false
激动地对中新网记者说,27日,"10,3",false
激动地对中新网记者说,河北省邢台钢铁有限公司的普通工人白金跃,"10,19",false
激动地对中新网记者说,拿着历年来国家各部委反馈给他的感谢信,"10,18",false
激动地对中新网记者说,27年来,"10,4",false
激动地对中新网记者说,国家公安部国家工商总局国家科学技术委员会科技部卫生部国家发展改革委员会等部委均接受并采纳过的我的建议,"10,50",true
并略显激动,据白金跃介绍,"5,6",false
并略显激动,自1988年至今,"5,8",false
并略显激动,他向国家各部委提出合理化建议1000多条,"5,20",false
并略显激动,并多次被各部委采纳,"5,9",false
并略显激动,曾荣获国家十二五建言献策个人一等奖河北省建言献策三等奖,"5,27",false
并略显激动,当日,"5,2",false
并略显激动,跟中新网记者谈起建言献策的初衷,"5,15",false
并略显激动,白金跃陷入回忆,"5,7",true
小男孩胸口蔫瘦得让人心疼,2002年6月3日上午,"12,11",false
小男孩胸口蔫瘦得让人心疼,当值的曾友蔚接报,"12,8",false
小男孩胸口蔫瘦得让人心疼,狮山镇小塘走马营村一树林里有一名年仅2岁多的小男孩躺在草地上,"12,30",false
小男孩胸口蔫瘦得让人心疼,无人认领,"12,4",false
小男孩胸口蔫瘦得让人心疼,曾友蔚立即赶到现场处置,"12,11",false
小男孩胸口蔫瘦得让人心疼,只见林中的草地上,"12,8",false
小男孩胸口蔫瘦得让人心疼,小男孩被包在一条毛巾里,"12,11",false
小男孩胸口蔫瘦得让人心疼,很孱弱,"12,3",false
小男孩胸口蔫瘦得让人心疼,不哭也不闹,"12,5",false
小男孩胸口蔫瘦得让人心疼,小眼珠子静静地望着眼前的警察叔叔,"12,16",false
小男孩胸口蔫瘦得让人心疼,曾友蔚打开包裹着的围巾,"12,11",false
小男孩胸口蔫瘦得让人心疼,贴身处有一张写着出生年月的纸条和一封利是,"12,20",false
小男孩胸口蔫瘦得让人心疼,曾友蔚意识到,"12,6",false
小男孩胸口蔫瘦得让人心疼,这可能是个病被弃的孩子,"12,11",false
无奈才选择跳楼轻生,为尽快将女子救下,"9,8",false
无奈才选择跳楼轻生,指挥员立即制订了救援方案,"9,12",false
无奈才选择跳楼轻生,第一组在楼下铺设救生气垫,"9,12",false
无奈才选择跳楼轻生,并对周围无关人员进行疏散,"9,12",false
无奈才选择跳楼轻生,另一组队员快速爬上6楼,"9,11",false
无奈才选择跳楼轻生,在楼内对女子进行劝说,"9,10",false
无奈才选择跳楼轻生,劝说过程中,"9,5",false
无奈才选择跳楼轻生,消防官兵了解到,"9,7",false
无奈才选择跳楼轻生,该女子是对方拖欠工程款,"9,11",true
无奈才选择跳楼轻生,家中又急需用钱,"9,7",true
无奈才选择跳楼轻生,生活压力大,"9,5",true
两人既是自豪也是对前景充满了信心,依靠父母支持和在学校打工积攒下来的钱,"16,18",false
两人既是自豪也是对前景充满了信心,两人共投资50多万元,"16,10",false
两人既是自豪也是对前景充满了信心,办起了养鸡场,"16,6",false
两人既是自豪也是对前景充满了信心,去年11月开始售卖产品,"16,11",false
两人既是自豪也是对前景充满了信心,3个月的销售额已经达到了50多万元,"16,17",false
两人既是自豪也是对前景充满了信心,有这样一个好的开头,"16,9",true
当初获得入户指标的那份欣喜,2013年6月,"13,7",false
当初获得入户指标的那份欣喜,在深圳打拼10年的吴树梁终于拿到大红的深圳市户口,"13,24",false
当初获得入户指标的那份欣喜,儿子吴同也随之迁入深圳,"13,11",false
当初获得入户指标的那份欣喜,但妻子丁维清却必须等候吴树梁入户满两年才能随迁,"13,23",false
当初获得入户指标的那份欣喜,半年后,"13,3",false
当初获得入户指标的那份欣喜,老吴患上肺癌晚期的噩耗而荡然无存,"13,16",false
当初获得入户指标的那份欣喜,取而代之的,"13,5",false
当初获得入户指标的那份欣喜,医生的判决是36个月,"13,10",false
当初获得入户指标的那份欣喜,这意味着,"13,4",false
当初获得入户指标的那份欣喜,老吴可能等不到妻子随迁入户深圳,"13,15",false
是他对自己生存期的忧虑,2013年6月,"11,7",false
是他对自己生存期的忧虑,在深圳打拼10年的吴树梁终于拿到大红的深圳市户口,"11,24",false
是他对自己生存期的忧虑,儿子吴同也随之迁入深圳,"11,11",false
是他对自己生存期的忧虑,但妻子丁维清却必须等候吴树梁入户满两年才能随迁,"11,23",false
是他对自己生存期的忧虑,半年后,"11,3",false
是他对自己生存期的忧虑,老吴患上肺癌晚期的噩耗而荡然无存,"11,16",false
是他对自己生存期的忧虑,取而代之的,"11,5",false
是他对自己生存期的忧虑,医生的判决是36个月,"11,10",false
是他对自己生存期的忧虑,这意味着,"11,4",false
是他对自己生存期的忧虑,老吴可能等不到妻子随迁入户深圳,"11,15",true
生不如死是老吴患癌后常有的想法,大面积骨转移,"15,6",true
