section,emo_clause_index,cau_candidate_index,emotion_clause,cause_candidate,conn,correctness,is_cause_conn
1,7,1,激动地对中新网记者说,当我看到建议被采纳,但,False,false
1,7,2,激动地对中新网记者说,部委领导写给我的回信时,当,False,false
1,7,3,激动地对中新网记者说,我知道我正在为这个国家的发展尽着一份力量,但,False,false
1,7,4,激动地对中新网记者说,27日,与,False,false
1,7,5,激动地对中新网记者说,河北省邢台钢铁有限公司的普通工人白金跃,而,False,false
1,7,6,激动地对中新网记者说,拿着历年来国家各部委反馈给他的感谢信,就,False,false
1,7,8,激动地对中新网记者说,27年来,但,False,false
1,7,9,激动地对中新网记者说,国家公安部国家工商总局国家科学技术委员会科技部卫生部国家发展改革委员会等部委均接受并采纳过的我的建议,而,True,false
1,7,7,激动地对中新网记者说,激动地对中新网记者说,更,False,false
2,9,1,并略显激动,据白金跃介绍,而,False,false
2,9,2,并略显激动,自1988年至今,而,False,false
2,9,3,并略显激动,他向国家各部委提出合理化建议1000多条,但,False,false
2,9,4,并略显激动,并多次被各部委采纳,但,False,false
2,9,5,并略显激动,曾荣获国家十二五建言献策个人一等奖河北省建言献策三等奖,因,False,true
2,9,6,并略显激动,当日,但,False,false
2,9,7,并略显激动,跟中新网记者谈起建言献策的初衷,就,False,false
2,9,8,并略显激动,白金跃陷入回忆,与,True,false
2,9,9,并略显激动,并略显激动,但,False,false
3,12,1,小男孩胸口蔫瘦得让人心疼,2002年6月3日上午,由,False,true
3,12,2,小男孩胸口蔫瘦得让人心疼,当值的曾友蔚接报,由,False,true
3,12,3,小男孩胸口蔫瘦得让人心疼,狮山镇小塘走马营村一树林里有一名年仅2岁多的小男孩躺在草地上,而,False,false
3,12,4,小男孩胸口蔫瘦得让人心疼,无人认领,但,False,false
3,12,5,小男孩胸口蔫瘦得让人心疼,曾友蔚立即赶到现场处置,而,False,false
3,12,6,小男孩胸口蔫瘦得让人心疼,只见林中的草地上,却,False,false
3,12,7,小男孩胸口蔫瘦得让人心疼,小男孩被包在一条毛巾里,而,False,false
3,12,8,小男孩胸口蔫瘦得让人心疼,很孱弱,但,False,false
3,12,9,小男孩胸口蔫瘦得让人心疼,不哭也不闹,但,False,false
3,12,10,小男孩胸口蔫瘦得让人心疼,小眼珠子静静地望着眼前的警察叔叔,而,False,false
3,12,11,小男孩胸口蔫瘦得让人心疼,曾友蔚打开包裹着的围巾,当,False,false
3,12,13,小男孩胸口蔫瘦得让人心疼,贴身处有一张写着出生年月的纸条和一封利是,而,False,false
3,12,14,小男孩胸口蔫瘦得让人心疼,曾友蔚意识到,但,False,false
3,12,15,小男孩胸口蔫瘦得让人心疼,这可能是个病被弃的孩子,但,False,false
3,12,12,小男孩胸口蔫瘦得让人心疼,小男孩胸口蔫瘦得让人心疼,而,True,false
4,12,1,无奈才选择跳楼轻生,为尽快将女子救下,但,False,false
4,12,2,无奈才选择跳楼轻生,指挥员立即制订了救援方案,总,False,false
4,12,3,无奈才选择跳楼轻生,第一组在楼下铺设救生气垫,由,False,true
4,12,4,无奈才选择跳楼轻生,并对周围无关人员进行疏散,但,False,false
4,12,5,无奈才选择跳楼轻生,另一组队员快速爬上6楼,而,False,false
4,12,6,无奈才选择跳楼轻生,在楼内对女子进行劝说,便,False,true
4,12,7,无奈才选择跳楼轻生,劝说过程中,但,False,false
4,12,8,无奈才选择跳楼轻生,消防官兵了解到,但,False,false
4,12,9,无奈才选择跳楼轻生,该女子是对方拖欠工程款,而,True,false
4,12,10,无奈才选择跳楼轻生,家中又急需用钱,但,True,false
4,12,11,无奈才选择跳楼轻生,生活压力大,因,True,true
4,12,12,无奈才选择跳楼轻生,无奈才选择跳楼轻生,但,False,false
5,7,1,两人既是自豪也是对前景充满了信心,依靠父母支持和在学校打工积攒下来的钱,就,False,false
5,7,2,两人既是自豪也是对前景充满了信心,两人共投资50多万元,而,False,false
5,7,3,两人既是自豪也是对前景充满了信心,办起了养鸡场,就,False,false
5,7,4,两人既是自豪也是对前景充满了信心,去年11月开始售卖产品,而,False,false
5,7,5,两人既是自豪也是对前景充满了信心,3个月的销售额已经达到了50多万元,而,False,false
5,7,6,两人既是自豪也是对前景充满了信心,有这样一个好的开头,总,True,false
5,7,7,两人既是自豪也是对前景充满了信心,两人既是自豪也是对前景充满了信心,而,False,false
6,6,1,当初获得入户指标的那份欣喜,2013年6月,由,False,true
6,6,2,当初获得入户指标的那份欣喜,在深圳打拼10年的吴树梁终于拿到大红的深圳市户口,而,False,false
6,6,3,当初获得入户指标的那份欣喜,儿子吴同也随之迁入深圳,而,False,false
6,6,4,当初获得入户指标的那份欣喜,但妻子丁维清却必须等候吴树梁入户满两年才能随迁,而,False,false
6,6,5,当初获得入户指标的那份欣喜,半年后,而,False,false
6,6,7,当初获得入户指标的那份欣喜,老吴患上肺癌晚期的噩耗而荡然无存,因,False,true
6,6,8,当初获得入户指标的那份欣喜,取而代之的,而,False,false
6,6,10,当初获得入户指标的那份欣喜,医生的判决是36个月,但,False,false
6,6,11,当初获得入户指标的那份欣喜,这意味着,而,False,false
6,6,12,当初获得入户指标的那份欣喜,老吴可能等不到妻子随迁入户深圳,但,False,false
6,6,6,当初获得入户指标的那份欣喜,当初获得入户指标的那份欣喜,而,True,false
6,9,1,是他对自己生存期的忧虑,2013年6月,但,False,false
6,9,2,是他对自己生存期的忧虑,在深圳打拼10年的吴树梁终于拿到大红的深圳市户口,而,False,false
6,9,3,是他对自己生存期的忧虑,儿子吴同也随之迁入深圳,而,False,false
6,9,4,是他对自己生存期的忧虑,但妻子丁维清却必须等候吴树梁入户满两年才能随迁,而,False,false
6,9,5,是他对自己生存期的忧虑,半年后,但,False,false
6,9,7,是他对自己生存期的忧虑,老吴患上肺癌晚期的噩耗而荡然无存,因,False,true
6,9,8,是他对自己生存期的忧虑,取而代之的,而,False,false
6,9,10,是他对自己生存期的忧虑,医生的判决是36个月,但,False,false
6,9,11,是他对自己生存期的忧虑,这意味着,而,False,false
6,9,12,是他对自己生存期的忧虑,老吴可能等不到妻子随迁入户深圳,但,True,false
6,9,9,是他对自己生存期的忧虑,是他对自己生存期的忧虑,就,False,false
8,1,2,生不如死是老吴患癌后常有的想法,大面积骨转移,因,True,true
8,1,3,生不如死是老吴患癌后常有的想法,老吴每天都在剧痛里挣扎,而,True,false
8,1,4,生不如死是老吴患癌后常有的想法,从2012年10月到现在,而,False,false
8,1,5,生不如死是老吴患癌后常有的想法,老吴已经和晚期肺癌搏斗了30个月,而,False,false
8,1,6,生不如死是老吴患癌后常有的想法,这个时间长度,而,False,false
8,1,7,生不如死是老吴患癌后常有的想法,比医生最初给他的死亡判决已经超出了近10倍,但,False,false
8,1,1,生不如死是老吴患癌后常有的想法,生不如死是老吴患癌后常有的想法,但,False,false
8,8,2,深圳宁养院的医生王劲也感到惊诧,大面积骨转移,因,False,true
8,8,3,深圳宁养院的医生王劲也感到惊诧,老吴每天都在剧痛里挣扎,而,False,false
8,8,4,深圳宁养院的医生王劲也感到惊诧,从2012年10月到现在,而,False,false
8,8,5,深圳宁养院的医生王劲也感到惊诧,老吴已经和晚期肺癌搏斗了30个月,而,True,false
8,8,6,深圳宁养院的医生王劲也感到惊诧,这个时间长度,而,False,false
8,8,7,深圳宁养院的医生王劲也感到惊诧,比医生最初给他的死亡判决已经超出了近10倍,但,True,false
8,8,8,深圳宁养院的医生王劲也感到惊诧,深圳宁养院的医生王劲也感到惊诧,而,False,false
10,5,1,就会有网友担心老吴是不是去了,为了坚持到妻子入户,但,False,false
10,5,2,就会有网友担心老吴是不是去了,老吴已经用尽了全力,而,False,false
10,5,3,就会有网友担心老吴是不是去了,老吴其抗癌事迹广为人知,而,False,false
10,5,4,就会有网友担心老吴是不是去了,如果老吴长时间不更新微博,但,True,false
10,5,6,就会有网友担心老吴是不是去了,2013年底,而,False,false
10,5,7,就会有网友担心老吴是不是去了,老吴两个多月没有更新微博,而,False,false
10,5,8,就会有网友担心老吴是不是去了,有网友担心地问他近况如何,更,False,false
